Scope	StudyStatus	Species	Model	Rank	Fraction	CI95Lower	CI95Upper	Count	NJudgments	NExperts	NGenes	SuccessfulReplicates	FailedFits	SeedStream
overall	all	all	Gemini	R1	0.168333333333333	0.115894039735099	0.225859247135843	101	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	R2	0.308333333333333	0.244628099173554	0.375643678473867	185	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	R3	0.256666666666667	0.198036006546645	0.320272572402044	154	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	R4	0.156666666666667	0.107692307692308	0.211093185600065	94	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	R5	0.11	0.0690194830353684	0.158432708688245	66	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	R1	0.0466666666666667	0.0194308410063968	0.0814940577249576	28	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	R2	0.1	0.0586244116150372	0.147261254848329	60	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	R3	0.121666666666667	0.0785338216539133	0.171629670169294	73	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	R4	0.156666666666667	0.109242980468638	0.209923937086946	94	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	R5	0.575	0.494826234530818	0.652951920134639	345	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	R1	0.161666666666667	0.108019639934534	0.221675269678899	97	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	R2	0.173333333333333	0.123002981326135	0.22891614151359	104	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	R3	0.196666666666667	0.143297138945056	0.255576553061377	118	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	R4	0.338333333333333	0.26430655828954	0.415341149524998	203	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	R5	0.13	0.0842970518504628	0.181338891190279	78	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	R1	0.433333333333333	0.351436722223463	0.517706576728499	260	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	R2	0.195	0.141025121555916	0.251224101755367	117	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	R3	0.15	0.101179475611333	0.203822775458117	90	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	R4	0.146666666666667	0.0985215506961521	0.200315648522344	88	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	R5	0.075	0.0407462684503631	0.115174132390059	45	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	R1	0.19	0.130651397483284	0.255360693135122	114	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	R2	0.223333333333333	0.169404672290051	0.281962607336125	134	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	R3	0.275	0.21381551258196	0.339339462413233	165	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	R4	0.201666666666667	0.148089105736723	0.261618383646947	121	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	R5	0.11	0.0669011140421122	0.159340882694541	66	600	120	200	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	R1	0.163333333333333	0.099009900990099	0.237179487179487	49	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	R2	0.336666666666667	0.251589972920401	0.426431294776005	101	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	R3	0.25	0.170906549971767	0.337306547619048	75	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	R4	0.15	0.0866660649819495	0.224082980633577	45	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	R5	0.1	0.0469299977436823	0.167235494880546	30	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	R1	0.05	0.0152439024390244	0.0961554982817869	15	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	R2	0.09	0.0394704486626402	0.15359477124183	27	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	R3	0.136666666666667	0.0771545584045584	0.209302325581395	41	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	R4	0.156666666666667	0.093246147817769	0.228017401569639	47	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	R5	0.566666666666667	0.461538461538462	0.667832167832168	170	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	OpenAI	R1	0.156666666666667	0.0869565217391304	0.239853198387475	47	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	OpenAI	R2	0.18	0.111111111111111	0.259019388922172	54	300	118	100	10000	0	pl_expert_gene_components
