Model	Gene	BERTScorePrecision	QuerySHA256	ResponseSHA256
Claude	AT1G06390	0.534844279289246	275c74b84254b446424e0f3d2fcf038b2ba101f13bdb95111d1e81f087c92345	da16534a21d988985741db96cd1728b81bfde069771d4510fcd7981da6147daa
Claude	AT1G14920	0.446841955184937	63525e09bcac0e708bcebdf6bbac3a4ca174fecc4a21e5a12b3ea990e0520db3	8f5bd9d95e3bff3bbfd589d1d9f5ee7e490c39c9176aae9af738954d9c85b8e6
Claude	AT1G19350	0.468865513801575	3ecd5f09685f86c8102947facb8b9b2621af584073dda7804263b2264ca393af	3e407027803dd20adfa9fded51cd77e3e1f39c7ca895df5aa2dc1f5e7e0f70b5
Claude	AT1G25250	0.470257639884949	4c02637ea475ab4b6963465f4fd8856b44a6400fe706047359622b24915c27f3	904f1ab8215093543b14326d08474a616b7984cf74b26730d53696c5debee35c
Claude	AT1G44090	0.488822221755981	add3116fa92c6be9739b109e3d19f487c6b60e6dcf1fe77e9eb18c97e542081f	dec075faa3385311a5d23ba907c3eada394ea8fb34be58ff10d3d78d54d1991e
Claude	AT1G66350	0.458168745040894	615c3086be702ebe3f51388e8139cb6c61c828dca8e9bdb45323bdc75a20a839	0a41d1ac3e643fd29e0fe4fc6a7e60dc0ab332871a45eec1391a03bed3c64570
Claude	AT1G67260	0.441708743572235	f7118db796145be7fcda0dc28e3e7fd394fe090275a7677b8db89b46c6e26ceb	78d9bd4b718bb329d2c05247e03ea0ca747d951e8bc85ef785c52b82aeb4a6c4
Claude	AT1G68130	0.455116927623749	bd068890f12f5ade6a2ab62fe9a559edbb75d3d177eaaffbc6202764c1e01eb7	b820188bef7c35ef5068516daf97e5a2ef473086fddbe88b5865a04a1babcb43
Claude	AT1G75080	0.447412967681885	14520ac5b879770c64a43b3ff2f390f382b24249c8fbee67977b8d401133281f	b43a16b9e7bfc2141dee6de5283133e2f7388ad2d24498aba365439e63cced6a
Claude	AT2G18790	0.494331389665604	464dac766d3cf31a34610910245f5140ca3675f42924beb5f4222dc7ddd91a4b	37cb5f16786b268513aba10b07a144cd9cb804a33078bb8964a40990f80afbae
Claude	AT2G38050	0.432823777198792	a5aeb14ef28746092c0d6afba1d555932094e3c2460bb5f1499e52f34098a749	e4f42bd379b6d77fe116854eb20058a6357670a34c605c6c2a2360b535aa0b7f
Claude	AT2G46790	0.49693489074707	f5337ceb60b2940a7c5e957a2511695ffcd2140d495556f0bbbbdd280079a4b8	f3213950c67b350d489698ffb6324a7dc284f8b9ee99bc77149c26b0d9de00ac
Claude	AT3G50660	0.520401239395142	dbf0b7ca3fa5391c2f07da614f46d7bfca2fa52c70e87017621fc058864df9ab	f9d6bfbfbc433471828c37eeba91d8b27be1328467ef2267d2712bed1099270f
Claude	AT4G18390	0.464434623718262	0230fd4cdcff760ae388b610b30728929b8b6042d731f06a7b95cd0084baa67b	d4ba5e2cf0a2e5d773bb7d4405c58c182582dedcedb6cee5271b19852a888966
Claude	AT4G21690	0.486663907766342	de1192173eb638d3ad9a521b82ad56ec38790da1704780351b782c225e4f0b0e	0e02419cdabb260868e329720d8ef025aa1b4584ef9469961b8157213c15bdbd
Claude	AT5G24470	0.451312839984894	4aedc7879cf7fb67383a3de6a103add70c53d57b73fa1013d85b24b850c2d45f	fc1cb63ed3a4b0866730e5cb2a572e7efb86af4ab22cfbfc00b7ba2f230bea8c
Claude	AT5G37020	0.450343132019043	4f45fce7c89fe652e6551bc7ad6848fb63db53e10728f4cb605ea3e994bf0a50	3cf77d13236ae7b9ad90e63df4c46067f8ab17a5b1c3d557391c039335f2cd3f
Claude	AT5G51810	0.514633536338806	d14f4f2299cf6db60fa4dce8fd3f1bd49fdaf8b3f27c41310ee9320ce44b57e1	dbf12b20d1219ef6ef8ed04ad902ac54b39dd93df4d0a0be7858e3370e16d89c
Claude	AT5G61380	0.475201487541199	a639a07b48287a61d03d8fa6a931a742c1ac3871f7bca0f8a1a4734fa3032948	50b1287cbb7c03e650623d0b9c9a7abb47df9c75d16397ab9c5e9515a01de28c
Claude	AT5G62000	0.49016460776329	bd2c0e18f53d51096cfcaadb4b6efd1b89ae3464531848586c410347d12038bb	77ccb3b74a3e91a88464b35f5435025ae88241d7cf85c3597675996e018f1538
Claude	GLYMA_01G175500	0.506301045417786	0594bf46a64575c8b3c915bbece3505134cc907ac59b9be157d381327f0e2755	c8c1bf42eb58669112d105cc4768695eca64cdc25cf2cfa6de1b51079374510a
Claude	GLYMA_01G194300	0.452978938817978	1e8e965a1cb526483fb1860414e909cae3063f258543b9b58b1e9114ca9bfe9e	01b3d6bfd96291b2220c290cfec3c65d8b7439576ff3ed837bc675d1a0e5fa0f
Claude	GLYMA_05G018800	0.445637166500092	776b4d326530f857c74a2b85f01e91063c0500d23b5cb10e40dc06cb36c5a060	2058c845395784c54c1c719f633629e2bee3cb40a3ae9d83c7a340101c7d2c41
Claude	GLYMA_08G163900	0.449606895446777	0f0991383b0c789740535718a9f91c0e3d9f2255ef68903dae188156008ef7a1	205443c02b2cd49d9e9411eb47463ff9db6947c6f6906c9fdc344522008a2ed1
Claude	GLYMA_08G269800	0.465394914150238	471883b4c20e2dda650bcae3ea858d1939f255f98e33a27d1bc04c625fa92f4b	740c6b75a7e8d3c3d0d241097eb6d45300ff6a75d42657699d4263cf7f7b12cd
Claude	GLYMA_08G302500	0.467493236064911	43542e1df081faa9f28e16a0b83ba60fed89851841b627e1677a632a019f6b7e	de4310f01464ad77b5692e3df35186bff3087df14ba330d16ad8a39b75eb96ab
Claude	GLYMA_09G149200	0.493603646755219	97c57728b488242f5e22261816dcd332e2e7436b0e48447b8363e5ea1bb83f4f	277a5cc30d4f51fcccd76dfc1b7c4ee14b773db93a4d778f1a5a2b3c2b428c23
Claude	GLYMA_09G238300	0.470057368278503	5f64fbd093b29e738863b2ef73e6c72f6c7fa96a8221b6460336b67c63a7c58d	96df57875f5525d4096b017f2e985246273637251aa8fc089dd16f54c7e5264f
Claude	GLYMA_11G003200	0.50251841545105	14dfecc6a4c9a608ff427c0ba67cf761e00f79ecac7873d4024e17f0f069151b	a2c7e012d10297d0bebb4ae09cbf150d694d670960776d1e291d7c8d3eabdf0e
Claude	GLYMA_11G026400	0.452478885650635	cf0dd81aee69d77ae449934e8efc3899e424c6b7c2a46730f78eb3de77dd429d	a53cb24d7795e7dfed5f996ccabfc9d96a40e63122a494899ebe9ef4ac6e84cc
Claude	GLYMA_12G224600	0.466481983661652	6fb3aea29e72e5e13a50314b8abf814d028659012a4c3410bb92bfe924869ab4	f3ec5a3e70b292035ca8ad1c255a203211c061b2d71f4c22a761865b598c8400
Claude	GLYMA_13G276700	0.442267656326294	aea06ed4b358d54f7202d8c3f0204a886b18011ac8c75a493a5cedf17f54ad50	82e00553f1d0c3d3840786fd59f92a7b3a3fb91f1f587cc0cf67a3e1d387bf1b
